"hanzi","pinyin","loa","fo1","decomposition","simplified","network_level"
"人","rén","1","7","人","人","1"
"口","kǒu","2","212","口","口","1"
"的","dí dì de","3","1","白勺","的","3"
"白","bái bó","4","286","白","白","1"
"勹","bāo","5","4017","勹","勹","1"
"止","zhǐ","6","596","止","止","1"
"勺","sháo zhuó","7","3239","勹","勺","2"
"土","tǔ","8","515","土","土","1"
"木","mù","9","694","木","木","1"
"日","rì mì","10","101","日","日","1"
"又","yòu","11","126","又","又","1"
"一","yī","12","2","一","一","1"
"水","shuǐ","13","202","水","水","1"
"舌","shé guā","14","1958","干口","舌","2"
"辵","chuò","15","3998","彳止","辵","2"
"是","shì","16","3","旦止","是","3"
"手","shǒu","17","143","手","手","1"
"大","dà dài tài","18","17","大","大","1"
"刀","dāo","19","1067","刀","刀","1"
"言","yán yàn yín","20","355","舌","言","3"
"不","bù fǒu fōu","21","4","不","不","1"
"心","xīn","22","90","心","心","1"
"屮","chè cǎo","23","4017","屮","屮","1"
"目","mù","24","239","目","目","1"
"彳","chì","25","4017","彳","彳","1"
"女","nǚ rǔ","26","224","女","女","1"
"糸","mì sī","27","4017","糸","糸","1"
"儿","ér","28","192","人","儿","2"
"寸","cùn","29","1904","寸","寸","1"
"也","yě","30","31","也","也","1"
"子","zǐ zi","31","37","子","子","1"
"了","liǎo le","32","5","了","了","1"
"旦","dàn","33","1300","日","旦","2"
"干","gān gàn hán","34","353","干","干","1"
"在","zài","35","6","才土","在","2"
"有","yǒu yòu","36","8","𠂇肉","有","2"
"肉","ròu rù","37","1009","肉","肉","1"
"宀","mián","38","4017","宀","宀","1"
"囗","wéi guó","39","4017","囗","囗","1"
"力","lì","40","106","力","力","1"
"禾","hé","41","3500","禾","禾","1"
"八","bā","42","451","八","八","1"
"生","shēng","43","34","屮土","生","2"
"這","zhè yàn zhèi","44","11","辵文","这","3"
"中","zhōng zhòng","45","14","中","中","1"
"十","shí","46","112","十","十","1"
"阝","fǔ","47","4017","阜邑","阝","3"
"匕","bǐ","48","3217","匕","匕","1"
"亼","jí kǒu","49","4017","亼","亼","1"
"厂","chǎng ān hàn","50","963","厂","厂","1"
"文","wén wèn","51","148","文","文","1"
"玉","yù","52","1001","玉","玉","1"
"才","cái","53","235","才","才","1"
"犬","quǎn","54","2644","犬","犬","1"
"上","shàng shǎng","55","16","上","上","1"
"火","huǒ huō","56","433","火","火","1"
"來","lái lài","57","15","来","来","1"
"我","wǒ","58","9","我","我","1"
"和","hé hè huó huò hú","59","19","禾口","和","2"
"个","gè gě","60","12","个","个","1"
"𠂇","zuǒ","61","4017","𠂇","𠂇","1"
"攴","pū","62","3981","卜又","攴","2"
"爲","wéi wèi","63","18","为","为","1"
"地","dì de","64","21","土也","地","2"
"門","mén","65","185","门","门","1"
"工","gōng","66","118","工","工","1"
"田","tián","67","778","田","田","1"
"夕","xī xì","68","2003","夕","夕","1"
"他","tā","69","10","人也","他","2"
"以","yǐ","70","23","人","以","2"
"艸","cǎo zào","71","4016","屮","艸","2"
"卜","bǔ bo bó","72","1979","卜","卜","1"
"要","yào yāo yǎo","73","26","覀女","要","3"
"卩","jié bù","74","4017","卩","卩","1"
"到","dào","75","22","至刀","到","2"
"們","mén men","76","13","人门","们","2"
"可","kě kè","77","30","丂口","可","2"
"斤","jīn","78","1866","斤","斤","1"
"云","yún","79","692","云","云","1"
"己","jǐ","80","162","己","己","1"
"羊","yáng xiáng","81","1337","羊","羊","1"
"國","guó","82","20","囗玉","国","2"
"時","shí","83","25","日寸","时","2"
"里","lǐ","84","50","田土","里","2"
"貝","bèi","85","1133","贝","贝","1"
"出","chū","86","28","屮凵","出","2"
"就","jiù","87","27","京尤","就","3"
"主","zhǔ","88","87","主","主","1"
"見","jiàn xiàn","89","153","冂儿","见","3"
"正","zhèng zhēng","90","129","止","正","2"
"用","yòng","91","51","用","用","1"
"去","qù","92","64","去","去","1"
"冖","mì","93","4017","冖","冖","1"
"說","shuō shuì yuè tuō","94","24","言兑","说","4"
"會","huì kuài guì","95","29","亼云","会","2"
"方","fāng fēng páng wǎng","96","60","方","方","1"
"成","chéng","97","59","戌丁","成","2"
"犮","quǎn bá","98","4017","犬","犮","2"
"牛","niú","99","1018","牛","牛","1"
"廾","gǒng gòng niàn","100","4017","廾","廾","1"
"對","duì","101","33","又寸","对","2"
"月","yuè","102","169","月","月","1"
"髮","fà fǎ","103","47","犮","发","3"
"几","jī jǐ","104","211","几","几","1"
"竹","zhú","105","1588","竹","竹","1"
"阜","fù","106","3385","阜","阜","1"
"邑","yì è","107","3109","囗卩","邑","2"
"學","xué","108","66","子","学","2"
"至","zhì dié","109","267","至","至","1"
"着","zhuó zháo zhāo zhe chú zhù","110","41","羊目","着","2"
"而","ér néng","111","36","而","而","1"
"冂","jiōng táng","112","4017","冂","冂","1"
"衣","yī yì","113","725","衣","衣","1"
"于","yú wū yū","114","40","于","于","1"
"能","néng nài nái tái tài xióng","115","35","能","能","1"
"作","zuò zuō zuó","116","49","人乍","作","2"
"二","èr","117","157","二","二","1"
"示","shì qī shí zhì","118","425","示","示","1"
"史","shǐ","119","456","史","史","1"
"分","fēn fèn","120","79","八刀","分","2"
"下","xià","121","42","下","下","1"
"過","guò guo guō huò","122","46","辵寸","过","3"
"動","dòng","123","73","云力","动","2"
"本","běn","124","92","木","本","2"
"立","lì wèi","125","197","立","立","1"
"車","chē jū","126","361","车","车","1"
"多","duō","127","61","夕","多","2"
"老","lǎo","128","179","老","老","1"
"自","zì","129","43","自","自","1"
"開","kāi","130","94","廾一","开","2"
"其","qí jī","131","85","其","其","1"
"者","zhě zhū","132","103","耂曰","者","3"
"小","xiǎo","133","83","小","小","1"
"之","zhī","134","44","之","之","1"
"年","nián","135","45","年","年","1"
"夊","suī","136","4017","夊","夊","1"
"家","jiā jia jie gū","137","56","宀豕","家","2"
"得","dé děi de","138","39","彳旦寸","得","3"
"石","shí dàn","139","414","厂口","石","2"
"丂","kǎo qiǎo yú","140","4017","丂","丂","1"
"種","zhǒng zhòng chóng","141","57","禾中","种","2"
"同","tóng tòng dòng","142","69","凡口","同","2"
"京","jīng","143","566","京","京","1"
"丁","dīng zhēng","144","1168","丁","丁","1"
"走","zǒu","145","207","止","走","2"
"經","jīng jìng","146","62","糸𢀖","经","2"
"戈","gē","147","1695","戈","戈","1"
"只","zhī zhǐ","148","97","口八","只","2"
"产","chǎn","149","159","文厂","产","2"
"現","xiàn","150","70","玉见","现","4"
"各","gè gě","151","209","夊囗","各","2"
"井","jǐng","152","1431","井","井","1"
"米","mǐ","153","575","米","米","1"
"后","hòu","154","48","厂一口","后","2"
"化","huà huā","155","178","人匕","化","2"
"那","nà nǎ nèi nā né něi nuó nuò","156","38","冉阝","那","4"
"行","háng xíng hàng héng xìng","157","53","行","行","1"
"頭","tóu tou","158","147","头","头","1"
"覀","yà xī","159","4017","冖","覀","2"
"重","zhòng chóng tóng","160","140","人东土","重","2"
"合","hé gě","161","171","亼口","合","2"
"相","xiāng xiàng","162","152","木目","相","2"
"爪","zhǎo zhuǎ","163","2359","爪","爪","1"
"金","jīn jìn","164","260","亼王八","金","2"
"尢","yóu wāng","165","3979","尢","尢","1"
"入","rù","166","210","入","入","1"
"面","miàn","167","74","目","面","2"
"尤","yóu","168","1099","尢","尤","2"
"長","cháng zhǎng zhàng","169","109","长","长","1"
"所","suǒ","170","54","户斤","所","2"
"厶","sī mǒu","171","4017","厶","厶","1"
"起","qǐ","172","75","走己","起","3"
"此","cǐ","173","116","止匕","此","2"
"然","rán","174","55","肉犬火","然","2"
"巾","jīn","175","2277","巾","巾","1"
"凵","kǎn qiǎn","176","4017","凵","凵","1"
"青","qīng jīng","177","497","生丹","青","3"
"首","shǒu","178","481","首","首","1"
"都","dū dōu","179","68","者阝","都","4"
"高","gāo gào","180","134","高","高","1"
"理","lǐ","181","89","玉里","理","3"
"進","jìn","182","81","辵井","进","3"
"體","tǐ tī","183","149","人本","体","3"
"戌","xū","184","3697","戌","戌","1"
"从","cóng zòng cōng zōng","185","98","人","从","2"
"定","dìng","186","77","宀正","定","3"
"尸","shī","187","1517","尸","尸","1"
"還","huán hái xuán","188","80","辵不","还","3"
"業","yè","189","130","业","业","1"
"實","shí","190","100","宀头","实","2"
"你","nǐ","191","32","人尔","你","2"
"義","yì","192","208","义","义","1"
"艮","gèn gěn hén","193","3898","匕目","艮","2"
"如","rú","194","67","女口","如","2"
"頁","yè xié","195","1128","首儿","页","3"
"天","tiān","196","78","大","天","2"
"兌","duì ruì yuè","197","2420","㕣儿","兑","3"
"麽","mó me ma mo mǒ","198","63","么","么","1"
"寺","sì","199","1892","土寸","寺","2"
"物","wù","200","142","牛勿","物","3"
"乍","zhà zuò","201","2904","乍","乍","1"
"法","fǎ","202","65","水去","法","2"
"戶","hù","203","801","户","户","1"
"因","yīn","204","96","囗大","因","2"
"民","mín","205","113","民","民","1"
"","","206","4017","","","1"
"好","hǎo hào","207","82","女子","好","2"
"性","xìng","208","122","心生","性","3"
"殳","shū","209","3973","几又","殳","2"
"古","gǔ","210","509","十口","古","2"
"等","děng","211","158","竹寺","等","3"
"隹","zhuī cuī wéi","212","3969","隹","隹","1"
"關","guān","213","127","关","关","1"
"气","qì xì","214","217","气","气","1"
"由","yóu yāo","215","136","口","由","2"
"广","guǎng ān","216","468","广","广","1"
"仌","bīng","217","4017","仌","仌","1"
"曰","yuē","218","1656","口","曰","2"
"占","zhān zhàn","219","737","卜口","占","2"
"把","bǎ bà","220","110","手巴","把","2"
"東","dōng","221","194","东","东","1"
"部","bù pǒu","222","84","咅阝","部","4"
"樣","yàng xiàng","223","88","木羊","样","2"
"當","dāng dàng dǎng","224","71","当","当","1"
"事","shì","225","58","史","事","2"
"看","kàn kān","225","76","手目","看","2"
"足","zú jù","227","527","口止","足","2"
"馬","mǎ","228","276","马","马","1"
"及","jí","229","198","人又","及","2"
"與","yǔ yú yù","230","108","与","与","1"
"些","xiē suò sā","231","86","此二","些","3"
"前","qián","232","93","止月刀","前","2"
"申","shēn","233","1110","申","申","1"
"它","tā tuō","234","107","它","它","1"
"社","shè","235","270","示土","社","2"
"兩","liǎng liàng","236","133","两","两","1"
"彡","shān xiǎn xiān","237","3995","彡","彡","1"
"音","yīn yìn","238","540","言","音","4"
"巠","jīng xíng","239","4017","𢀖","𢀖","1"
"凡","fán","240","1013","凡","凡","1"
"沒","méi mò","241","72","水殳","没","3"
"爾","ěr","242","220","尔","尔","1"
"想","xiǎng","243","99","相心","想","3"
"豕","shǐ","244","3931","豕","豕","1"
"耂","lǎo","245","4017","老","耂","2"
"山","shān","246","259","山","山","1"
"意","yì","247","104","音心","意","5"
"三","sān sàn","248","125","三","三","1"
"間","jiān jiàn jiǎn","249","135","门日","间","2"
"次","cì","250","183","二欠","次","2"
"向","xiàng shǎng","251","146","宀口","向","2"
"耳","ěr réng","252","887","耳","耳","1"
"無","wú mó","253","105","无","无","1"
"巴","bā","254","546","巴","巴","1"
"度","dù duó","255","184","庶又","度","4"
"具","jù","256","391","目廾","具","2"
"點","diǎn duò zhān","257","128","火占","点","3"
"象","xiàng","258","300","象","象","1"
"使","shǐ shì","259","119","人吏","使","3"
"原","yuán yuàn","260","193","厂泉","原","3"
"但","dàn","261","95","人旦","但","3"
"明","míng","262","121","日月","明","2"
"且","qiě jū","263","295","且","且","1"
"全","quán","264","124","入玉","全","2"
"王","wáng wàng yù","265","299","王","王","1"
"弓","gōng","266","2225","弓","弓","1"
"道","dào dǎo","267","52","辵首","道","3"
"欠","qiàn quē","268","1948","欠","欠","1"
"制","zhì","269","163","朱刀","制","3"
"比","bǐ bì pí pǐ","270","199","匕","比","2"
"士","shì","271","372","士","士","1"
"穴","xué jué xuè","272","1940","穴","穴","1"
"情","qíng","273","120","心青","情","4"
"外","wài","274","131","夕卜","外","2"
"活","huó guō","275","219","水舌","活","3"
"加","jiā","276","166","力口","加","2"
"直","zhí","277","255","十目","直","2"
"交","jiāo","278","320","交","交","1"
"取","qǔ qū","279","323","耳又","取","2"
"斗","dǒu dòu","280","580","斗","斗","1"
"內","nèi nà","281","175","冂入","内","2"
"反","fǎn fān","282","237","厂又","反","2"
"形","xíng","283","269","开彡","形","3"
"代","dài","284","174","人弋","代","2"
"應","yīng yìng","285","144","应","应","1"
"少","shǎo shào","286","233","少","少","1"
"量","liáng liàng","287","241","日重","量","3"
"表","biǎo","288","177","衣毛","表","2"
"虫","chóng","289","1287","虫","虫","1"
"尚","shàng cháng","290","878","冂口八","尚","2"
"矢","shǐ","291","2803","矢","矢","1"
"辛","xīn","292","1463","辛","辛","1"
"展","zhǎn","293","275","尸衣","展","2"
"毛","máo mào","294","623","毛","毛","1"
"元","yuán","295","370","儿","元","3"
"乂","yì","296","4017","乂","乂","1"
"系","xì jì","297","216","糸","系","2"
