一,one,ㄧ,yī,一,"one; a, an; alone",一點 一點兒 一些,ㄧ ㄉㄧㄢˇ  ㄧ ㄉㄧㄢˇㄦ˙  ㄧ ㄒㄧㄝ ,yīdiǎn yīdiǎnr yīxiē,,1,5
勺,ladle,ㄕㄠˊ,sháo,心戈,"spoon, ladle; unit of volume",,,,,65,4643
口,mouth,ㄎㄡˇ,kǒu,口,"mouth; open end; entrance, gate",十字路口 門口 路口,ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄇㄣˊㄎㄡˇ  ㄌㄨ`ㄎㄡˇ,shízìlùkǒu ménkǒu lùkǒu,,11,404
日,day,ㄖ`,rì,日,sun; day; daytime,日本 生日 星期日,ㄖ`ㄅㄣˇ  ㄕㄥ ㄖ`  ㄒㄧㄥ ㄑㄧ ㄖ`,Rìběn shēngrì Xīngqīrì,,12,124
白,white,ㄅㄞˊ,bái,竹日,"white; pure, unblemished; bright",白色 白白 白菜,ㄅㄞˊㄙㄜ`  ㄅㄞˊㄅㄞˊ  ㄅㄞˊㄘㄞ`,báisè báibái báicài,,33,358
的,bull's eye,ㄉㄜ˙,de,竹日心戈,"possessive, adjectival suffix",別的 的話 目的,ㄅㄧㄝˊㄉㄜ˙  ㄉㄜ˙ㄏㄨㄚ`  ㄇㄨ`ㄉㄧ`,biéde dehuà mùdì,,66,1
止,stop,ㄓˇ,zhǐ,卜中一,"stop, halt, desist; detain",不止 防止 截止,ㄅㄨ`ㄓˇ  ㄈㄤˊㄓˇ  ㄐㄧㄝˊㄓˇ,bùzhǐ fángzhǐ jiézhǐ,,353,765
正,correct,ㄓㄥ`,zhèng,一卜中一,"right, proper, correct",正在 真正 正常,ㄓㄥ`ㄗㄞ`  ㄓㄣ ㄓㄥ`  ㄓㄥ`ㄔㄤˊ,zhèngzài zhēnzhèng zhèngcháng,,362,125
是,be,ㄕ`,shì,日一卜人,"indeed, yes, right; to be; demonstrative pronoun, this, that",可是 還是 總是,ㄎㄜˇㄕ`  ㄏㄞˊㄕ˙  ㄗㄨㄥˇㄕ`,kěshì háishi zǒngshì,,368,2
卜,divination,bǔ,bǔ,卜,fortune telling; prophesy,,,,,42,2199
不,no,ㄅㄨ`,bù,一火,"no, not; un-; negative prefix",對不起 不錯 不客氣,ㄉㄨㄟ`ㄅㄨ˙ㄑㄧˇ  ㄅㄨ`ㄘㄨㄛ`  ㄅㄨ`ㄎㄜ`ㄑㄧ˙,duìbuqǐ bùcuò bùkèqi,,924,3
二,two,ㄦ`,èr,一一,two; twice,,,,,2,133
戈,halberd,ㄍㄜ,gē,戈,"halberd, spear, lance; rad. 62",,,,,335,2382
手,hand,ㄕㄡˇ,shǒu,手,hand,手機 洗手間 手指,ㄕㄡˇㄐㄧ   ㄒㄧˇㄕㄡˇㄐㄧㄢ   ㄕㄡˇㄓˇ,shǒujī xǐshǒujiān shǒuzhǐ,,548,151
我,I,ㄨㄛˇ,wǒ,竹手戈,"our, us, i, me, my, we",我們 自我,ㄨㄛˇㄇㄣ˙  ㄗ`ㄨㄛˇ,wǒmen zìwǒ,,551,4
十,ten,ㄕˊ,shí,十,"ten, tenth; complete; perfect",十字路口 十分 十足,ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄕˊㄈㄣ   ㄕˊㄗㄨˊ,shízìlùkǒu shífēn shízú,,10,163
人,person,ㄖㄣˊ,rén,人,man; people; mankind; someone else,家人 工人 別人,ㄐㄧㄚ ㄖㄣˊ  ㄍㄨㄥ ㄖㄣˊ  ㄅㄧㄝˊㄖㄣ˙,jiārén gōngrén biéren,,736,9
又,again,ㄧㄡ`,yòu,弓大,"and, also, again, in addition",,,,,589,139
月,month,ㄩㄝ`,yuè,月,moon; month; KangXi radical 74,月亮 月餅 月份,ㄩㄝ`ㄌㄧㄤ˙  ㄩㄝ`ㄅㄧㄥˇ  ㄩㄝ`ㄈㄣ`,yuèliang yuèbǐng yuèfèn,,13,214
肉,meat,ㄖㄡ`,ròu,人月人,flesh; meat; KangXi radical 130,肌肉 烤肉 肉麻,ㄐㄧ ㄖㄡ`  ㄎㄠˇㄖㄡ`  ㄖㄡ`ㄇㄚˊ,jīròu kǎoròu ròumá,,782,900
有,possess,ㄧㄡˇ,yǒu,大月,"have, own, possess; exist",有趣 有時候 有用,ㄧㄡˇㄑㄩ`  ㄧㄡˇㄕˊㄏㄡ˙  ㄧㄡˇㄩㄥ`,yǒuqù yǒushíhou yǒuyòng,,75,6
大,large,ㄉㄚ`,dà,大,"big, great, vast, large, high",大學 大家 大人,ㄉㄚ`ㄒㄩㄝˊ  ㄉㄚ`ㄐㄧㄚ   ㄉㄚ`ㄖㄣ˙,Dàxué dàjiā dàren,,106,7
土,soil,ㄊㄨˇ,tǔ,土,"soil, earth; items made of earth",土地 本土 領土,ㄊㄨˇㄉㄧ`  ㄅㄣˇㄊㄨˇ  ㄌㄧㄥˇㄊㄨˇ,tǔdì běntǔ lǐngtǔ,,147,674
才,genius,ㄘㄞˊ,cái,木竹,"talent, ability; just, only",剛才 才能 口才,ㄍㄤ ㄘㄞˊ  ㄘㄞˊㄋㄥˊ  ㄎㄡˇㄘㄞˊ,gāngcái cáinéng kǒucái,,578,172
在,at,ㄗㄞ`,zài,大中土,"be at, in, on; consist in, rest",現在 正在 存在,ㄒㄧㄢ`ㄗㄞ`  ㄓㄥ`ㄗㄞ`  ㄘㄨㄣˊㄗㄞ`,xiànzài zhèngzài cúnzài,,581,8
了,(-ed),ㄌㄜ˙,le,弓弓,to finish; particle of completed action,了解 怎麼了 為了,ㄌㄧㄠˇㄐㄧㄝˇ  ㄗㄣˇㄇㄜ˙ㄌㄜ˙  ㄨㄟ`ㄌㄜ˙,liǎojiě zěnmele wèile,,95,10
中,middle,ㄓㄨㄥ,zhōng,中,"central; center, middle; in the midst of; hit (target); attain",中國 中午 中學,ㄓㄨㄥ ㄍㄨㄛˊ  ㄓㄨㄥ ㄨˇ  ㄓㄨㄥ ㄒㄩㄝˊ,Zhōngguó zhōngwǔ zhōngxué,,36,11
至,until,ㄓ`,zhì,一戈土,"reach, arrive; extremely, very",甚至 至少 至於,ㄕㄣ`ㄓ`  ㄓ`ㄕㄠˇ  ㄓ`ㄩˊ,shènzhì zhìshǎo zhìyú,,626,247
刀,sword,ㄉㄠ,dāo,尸竹,knife; old coin; measure,刀子 剪刀 開刀,ㄉㄠ ㄗ˙  ㄐㄧㄢˇㄉㄠ   ㄎㄞ ㄉㄠ ,dāozi jiǎndāo kāidāo,,79,940
到,arrive,ㄉㄠ`,dào,一土中弓,"go to, arrive, been to",遲到 到處 到底,ㄔˊㄉㄠ`  ㄉㄠ`ㄔㄨ`  ㄉㄠ`ㄉㄧˇ,chídào dàochù dàodǐ,,628,12
八,eight,ㄅㄚ,bā,竹人,"eight; all around, all sides",八卦 八字,ㄅㄚ ㄍㄨㄚ`  ㄅㄚ ㄗ`,bāguà bāzì,,8,419
欠,lack,ㄑㄧㄢ`,qiàn,弓人,"owe, lack, be deficient; KangXi radical number 76",,,,,439,2056
目,eye,ㄇㄨ`,mù,月山,"eye; look, see; division, topic",節目 目的 目前,ㄐㄧㄝˊㄇㄨ`  ㄇㄨ`ㄉㄧ`  ㄇㄨ`ㄑㄧㄢˊ,jiémù mùdì mùqián,,15,249
次,next,ㄘ`,cì,戈一弓人,"order, sequence; next",其次 次數 場次,ㄑㄧˊㄘ`  ㄘ`ㄕㄨ`  ㄔㄤˇㄘ`,qícì cìshù chǎngcì,,443,152
