hanzi,keyword,zhuyin,pinyin,decomposition,definition,example,example_zhuyin,example_pinyin,simplified,rth_index,frequency_index,learn_order,network_level,decompstr
﻿一,one,ㄧ,yī,"{'character': '\ufeff一', 'once': ['\ufeff', '一'], 'radical': ['\ufeff', '一'], 'graphical': ['\ufeff', '一']}","one; a, an; alone",一點 一點兒 一些,ㄧ ㄉㄧㄢˇ  ㄧ ㄉㄧㄢˇㄦ˙  ㄧ ㄒㄧㄝ ,yīdiǎn yīdiǎnr yīxiē,,1,5,,,"['\ufeff一 [one]\t', '\ufeff\t一', '\ufeff\t一']"
勺,ladle,ㄕㄠˊ,sháo,"{'character': '勺', 'once': ['勹', '丶'], 'radical': ['勹', '丶'], 'graphical': ['㇆', '㇒', '丶']}","spoon, ladle; unit of volume",,,,,65,4643,7,2,"['勹 [bound up]丶 [drop]\t', '勹\t丶', '㇆\t㇒\t丶']"
口,mouth,ㄎㄡˇ,kǒu,"{'character': '口', 'once': ['囗'], 'radical': ['口'], 'graphical': ['口']}","mouth; open end; entrance, gate",十字路口 門口 路口,ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄇㄣˊㄎㄡˇ  ㄌㄨ`ㄎㄡˇ,shízìlùkǒu ménkǒu lùkǒu,,11,404,2,1,"['囗\t', '口', '口']"
日,day,ㄖ`,rì,"{'character': '日', 'once': ['口', '一'], 'radical': ['日'], 'graphical': ['口', '一']}",sun; day; daytime,日本 生日 星期日,ㄖ`ㄅㄣˇ  ㄕㄥ ㄖ`  ㄒㄧㄥ ㄑㄧ ㄖ`,Rìběn shēngrì Xīngqīrì,,12,124,10,1,"['口 [mouth]一 [one]\t', '日', '口\t一']"
白,white/dove,ㄅㄞˊ,bái,"{'character': '白', 'once': ['日', '㇒'], 'radical': ['白'], 'graphical': ['口', '一', '㇒']}","white; pure, unblemished; bright",白色 白白 白菜,ㄅㄞˊㄙㄜ`  ㄅㄞˊㄅㄞˊ  ㄅㄞˊㄘㄞ`,báisè báibái báicài,,33,358,4,1,"['日 [day]㇒ [eyedropper]\t', '白', '口\t一\t㇒']"
的,bull's eye,ㄉㄜ˙,de,"{'character': '的', 'once': ['白', '勺'], 'radical': ['白', '勹', '丶'], 'graphical': ['口', '一', '㇒', '㇆', '㇒', '丶']}","possessive, adjectival suffix",別的 的話 目的,ㄅㄧㄝˊㄉㄜ˙  ㄉㄜ˙ㄏㄨㄚ`  ㄇㄨ`ㄉㄧ`,biéde dehuà mùdì,,66,1,3,3,"['白 [white/dove]勺 [ladle]\t', '白\t勹\t丶', '口\t一\t㇒\t㇆\t㇒\t丶']"
止,stop,ㄓˇ,zhǐ,"{'character': '止', 'once': ['⺊', '丄'], 'radical': ['止'], 'graphical': ['丨', '一', '丨', '一']}","stop, halt, desist; detain",不止 防止 截止,ㄅㄨ`ㄓˇ  ㄈㄤˊㄓˇ  ㄐㄧㄝˊㄓˇ,bùzhǐ fángzhǐ jiézhǐ,,353,765,6,1,"['⺊丄\t', '止', '丨\t一\t丨\t一']"
正,correct,ㄓㄥ`,zhèng,"{'character': '正', 'once': ['一', '止'], 'radical': ['一', '止'], 'graphical': ['一', '丨', '一', '丨', '一']}","right, proper, correct",正在 真正 正常,ㄓㄥ`ㄗㄞ`  ㄓㄣ ㄓㄥ`  ㄓㄥ`ㄔㄤˊ,zhèngzài zhēnzhèng zhèngcháng,,362,125,90,2,"['一 [one]止 [stop]\t', '一\t止', '一\t丨\t一\t丨\t一']"
是,be,ㄕ`,shì,"{'character': '是', 'once': ['日', '𤴓'], 'radical': ['日', '一', '龰'], 'graphical': ['口', '一', '一', '龰']}","indeed, yes, right; to be; demonstrative pronoun, this, that",可是 還是 總是,ㄎㄜˇㄕ`  ㄏㄞˊㄕ˙  ㄗㄨㄥˇㄕ`,kěshì háishi zǒngshì,,368,2,16,3,"['日 [day]𤴓\t', '日\t一\t龰', '口\t一\t一\t龰']"
卜,divination,bǔ,bǔ,"{'character': '卜', 'once': ['丨', '丶'], 'radical': ['卜'], 'graphical': ['丨', '丶']}",fortune telling; prophesy,,,,,42,2199,72,1,"['丨丶 [drop]\t', '卜', '丨\t丶']"
